S.No,Movie_Name,Movie_URL,Movie_IMDb_Rating,Movie_Year
101,Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_101,8.3,1992
102,Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102,8.3,1983
103,Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_103,8.3,1995
104,Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104,8.3,1944
105,North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_105,8.3,1959
106,Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_106,8.3,2009
107,M,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_107,8.3,1931
108,Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_108,8.3,1941
109,Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109,8.2,1987
110,Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_110,8.2,1958
111,Amélie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111,8.3,2001
112,Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_112,8.3,2007
113,A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_113,8.3,2011
114,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114,8.3,1962
115,Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_115,8.2,1988
116,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_116,8.2,1989
117,The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_117,8.2,1973
118,A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_118,8.2,1971
119,The Chaos Class Failed the Class,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_119,8.7,1975
120,Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120,8.3,1927
121,Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_121,8.3,2023
122,Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_122,8.2,2000
123,1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123,8.2,2019
124,L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_124,8.2,1997
125,Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125,8.2,1948
126,Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_126,8.2,2004
127,Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_127,8.3,2016
128,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_128,8.2,2013
129,Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_129,8.3,2020
130,Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_130,8.2,2018
131,Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_131,8.2,1976
132,The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_132,8.2,1998
133,Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_133,8.2,2005
134,For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_134,8.2,1965
135,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135,8.3,1961
136,Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_136,8.2,1959
137,Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_137,8.2,2010
138,The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_138,8.2,1921
139,The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_139,8.2,2020
140,Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_140,8.2,1993
141,All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_141,8.2,1950
142,There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_142,8.2,2007
143,The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143,8.2,1999
144,Ran,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144,8.2,1985
145,Casino,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_145,8.2,1995
146,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_146,8.2,2022
147,No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_147,8.2,2007
148,The Thing,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_148,8.2,1982
149,Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_149,8.2,1992
150,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_150,8.2,2006
151,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151,8.2,2003
152,A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_152,8.2,2001
153,Prisoners,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_153,8.2,2013
154,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_154,8.2,1948
155,The Best of Youth,https://www.imdb.com/title/tt0346336/?ref_=chttp_t_155,8.5,2003
156,Yojimbo,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_156,8.2,1961
157,Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_157,8.2,2003
158,Howl's Moving Castle,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158,8.2,2004
159,The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_159,8.2,1963
160,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_160,8.2,1975
161,The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_161,8.2,1980
162,Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162,8.2,1954
163,Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_163,8.2,2019
164,Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_164,8.2,1939
165,The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165,8.2,2009
166,Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_166,8.1,1974
167,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_167,8.1,1998
168,Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_168,8.1,1950
169,V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_169,8.1,2005
170,Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_170,8.1,2015
171,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_171,8.1,2017
172,Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_172,8.1,2002
173,Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_173,8.1,1996
174,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_174,8.1,1957
175,Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_175,8.1,1980
176,The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_176,8.2,2024
177,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_177,8.1,2011
178,Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_178,8.1,1996
179,Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_179,8.1,2011
180,Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_180,8.1,2008
181,Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_181,8.1,2004
182,Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_182,8.1,1959
